职称,发布时间,地点,薪资,工作天数,实习时长,公司,职位
软件开发实习生（Java方向）,5天前,沈阳,面议,4天/周,7个月,埃森哲,Java
后端软件工程师,3月前,佛山,50-100/天,5天/周,12个月,创新设计研究院,Java
19届MF软件开发实习生,3月前,大连,100-150/天,5天/周,12个月,华钦软件,Java
开发工程师助理,5天前,深圳,300-400/天,5天/周,5个月,中国平安,Java
java开发实习生,4小时前,杭州,100-150/天,5天/周,13个月,仁聚汇通,Java
Java研发实习生,1周前,上海,面议,5天/周,9个月,淘璞儿童,Java
JS/H5编程讲师,2天前,广州,100-150/天,5天/周,4个月,酷码教育,Java
JAVA开发实习生,1周前,北京,100-150/天,5天/周,8个月,用友金融,Java
软件开发类实习生,1周前,厦门,面议,5天/周,4个月,银丰新融,Java
后端开发实习生,5天前,沈阳,1-50/天,5天/周,8个月,东软,Java
Java开发实习生,3周前,重庆,100-150/天,3天/周,6个月,仙桃国际学院,Java
Java 后台开发实习生,1周前,南京,150-200/天,3天/周,7个月,凯奥思,Java
java实习生,3小时前,北京,面议,5天/周,8个月,票市通,Java
Java工程师,1周前,上海,250-300/天,5天/周,13个月,印飞科技,Java
JS/H5编程讲师/助教,2天前,佛山,100-150/天,5天/周,4个月,酷码教育,Java
实施工程师,5天前,沈阳,50-100/天,5天/周,10个月,东软集团,Java
java/web实习生,2周前,珠海,100-150/天,5天/周,4个月,联创工场,Java
Java开发实习生,5小时前,北京,150-200/天,4天/周,4个月,神州泰岳软件,Java
大数据平台后端开发实习生,7天前,北京,面议,5天/周,7个月,网易,Java
java开发,7天前,上海,100-150/天,3天/周,13个月,初米网络,Java
研发部实习生,4天前,上海,200-250/天,5天/周,8个月,耘申科技,Java
Java实习生,5小时前,北京,100-150/天,5天/周,4个月,畅捷支付,IT互联网
服务器开发实习生,3天前,北京,400-500/天,5天/周,7个月,字节跳动,Java
Java实习生,6天前,北京,150-200/天,3天/周,4个月,经纬恒润,Java
Java实习生,3天前,沈阳,100-150/天,3天/周,7个月,星云海,软件
Java实习生,1月前,沈阳,100-150/天,5天/周,6个月,埃森哲,Java
Java开发实习生,6小时前,北京,100-150/天,5天/周,5个月,中软创新,Java
IT管培生,2周前,杭州,50-100/天,3天/周,8个月,顾家集团,Java
软件开发工程师（实习）,3周前,武汉,100-150/天,5天/周,8个月,慧联无限,Java
java开发,5天前,北京,面议,5天/周,4个月,中网汇智,Java
Java软件工程师,4天前,上海,100-150/天,3天/周,4个月,万得,Java
软件开发实习生,3周前,大连,50-100/天,5天/周,4个月,纬创软件,Java
Java实习生（2019年应届生）,5小时前,成都,100-150/天,3天/周,8个月,安硕信息,Java
JAVA工程师实习生,5天前,北京,200-250/天,5天/周,7个月,猎聘网,Java
java软件实习生,8小时前,"北京,西安",200-250/天,5天/周,4个月,拓普互联,Java
苏州JAVA开发实习,5小时前,苏州,100-150/天,4天/周,11个月,安硕信息,Java
后端开发工程师,5天前,全国,150-200/天,3天/周,5个月,六星教育,Java
开发实习生,6小时前,北京,1-2/天,5天/周,3个月,中软创新,Java
Java助教实习生,2天前,北京,250-300/天,5天/周,8个月,慧科集团,Java
后端实习生,7天前,北京,面议,5天/周,8个月,网易,Java
java开发工程师-实习生,4小时前,深圳,100-149/天,5天/周,3个月,深圳蓝凌,Java
JAVA实习生,2周前,上海,200-250/天,4天/周,8个月,宏信金服,Java
java开发工程师,2月前,"福州,泉州",100-150/天,4天/周,12个月,南威软件,Java
系统研发工程师,2周前,上海,150-200/天,5天/周,10个月,平安租赁,Java
Java研发工程师,1周前,北京,150-200/天,4天/周,9个月,清能互联,Java
Java后台开发助理工程师,4小时前,深圳,200-250/天,5天/周,8个月,7G智慧,Java
